absorption wavelength,intensity,MW
286.9,0.0035,214.271
238.98,0.0027,152.149
242.44,0.0262,151.209
222.51,0.299,140.206
245.74,0.0274,152.193
317.17,0.141,217.249
381.62,0.0476,211.224
397.89,0.0063,183.232
280.83,0.0681,205.242
268.87,0.2045,136.11
246.78,0.0006,186.236
266.89,0.1023,179.175
228.63,0.0126,129.159
259.12,0.0164,167.208
199.34,0.1265,133.154
289.94,0.0129,179.223
383.84,0.0043,191.238
247.54,0.0773,177.247
288.82,0.0292,210.327
345.6,0.0716,153.137
273.22,0.0107,204.66
266.54,0.0002,152.149
301.63,0.0489,123.159
245.12,0.0123,183.682
330.67,0.2132,206.197
293.86,0,208.286
299.01,0.0014,148.158
342.75,0.0002,164.16
329.77,0.0009,193.206
303.38,0.0583,166.176
207.8,0.2138,111.144
334.51,0.004,200.581
287.86,0.0015,234.664
355.19,0.0966,185.154
360.9,0,186.236
230.4,0.0034,154.169
301.57,0.0711,178.26
262.96,0.0294,165.192
312.01,0.1306,185.226
247.21,0.053,166.244
243.35,0.0396,167.208
270.6,0.1817,202.217
271.11,0.1672,188.19
254.33,0.0102,153.181
238.64,0,191.639
265.11,0.0955,153.137
274.34,0.0105,167.208
263.91,0.0012,168.236
241.67,0.0214,151.209
273.53,0.0107,211.648
257.52,0,156.137
270,0.0244,196.681
292.75,0.3433,189.243
279.04,0.2346,221.651
262.6,0.032,192.649
242.79,0.0474,161.204
301.41,0.003,155.157
295.17,0.0083,141.214
314.66,0.1412,231.276
269.02,0.0019,157.242
521.48,0.0003,226.351
193.06,0.0014,157.257
278.22,0.0001,214.271
333.41,0,202.209
281.01,0.0023,156.185
249.24,0.0869,179.263
194.39,0.0595,138.17
296.33,0.5143,193.206
323.76,0.5932,260.274
321.2,0.2083,187.202
235.6,0.0031,164.212
235.13,0.0002,210.285
299.86,0,208.242
329.76,0.7813,235.272
298.68,0.0635,165.24
230.54,0.0013,165.192
331.99,0.0064,138.146
291.25,0.0016,257.68
331.45,0.3042,241.25
343.76,0.0019,202.237
259.06,0.0693,180.247
273.25,0.0011,162.236
242.47,0.0048,195.193
229.02,0.0003,163.22
220.09,0.0012,129.159
313.47,0.1007,262.652
334.81,0.0003,193.246
353.12,0.0124,229.757
277.34,0.0107,201.203
285.38,0.0003,161.204
303.19,0.294,279.73
246.34,0.0387,152.149
316.57,0.0375,186.214
188.01,0.0082,146.21
254.04,0.0189,172.209
343.96,0,134.134
281.43,0.0043,178.235
323.26,0.0005,185.183
326.52,0,220.268
342.51,0.0001,177.247
